"","authors","date","teamnumber","parameter","mintra","sdintra","nintra","mspecies","sdspecies","nspecies","intraspecfic.effect.size","species.effect.size","yi","vi"
"42","Fryxell et al.",2014,"Team 8","Gross Primary Productivity",0.0792,0.1989,24,0.0513,0.2151,36,0.398,0.2383,-0.157917621917473,0.0696522609053784
"43","Fryxell et al.",2014,"Team 8","Net Primary Productivity",0.1125,0.4818,24,0.2304,0.5026,36,0.2335,0.4584,0.293261953823618,0.0701611325574482
"44","Fryxell et al.",2014,"Team 8","Nitrate concentration",5e-04,0.001,24,2e-04,0.001,36,0.4624,0.1871,-0.353256509454469,0.0704843624567107
"45","Fryxell et al.",2014,"Team 8","Phosphate concentration",9e-04,0.0018,24,0.0011,0.0023,36,0.5029,0.4788,0.105312989666434,0.0695368679927151
"46","Fryxell et al.",2014,"Team 8","Cladoceran abundance",1.3333,12.5383,24,221.3333,131.476,36,0.1063,1.6835,2.12598514982452,0.107109551588397
"47","Fryxell et al.",2014,"Team 8","Copepod abundance",3.9167,4.5967,24,24.875,25.4497,36,0.8521,0.9774,1.03828919242955,0.0784281481704112
"48","Fryxell et al.",2014,"Team 8","Total zooplankton biomass",33.5316,55.7023,24,960.7025,686.3478,36,0.602,1.3997,1.71503870071935,0.0939557589858205
"49","Fryxell et al.",2018,"Team 8","Net Primary Productivity",0.018,0.2415,16,0.015,0.229,20,0.0745,0.0655,-0.0170930569279442,0.11250405795271
"50","Fryxell et al.",2018,"Team 8","Ecosystem Respiration",0.0063,0.2598,16,0.0781,0.2503,20,0.0241,0.3121,0.375098717390708,0.114454153441502
"51","Fryxell et al.",2018,"Team 8","Gross Primary Productivity",0.0113,0.4916,16,0.0631,0.458,20,0.0229,0.1378,0.147893985774347,0.112803786542059
"52","Fryxell et al.",2018,"Team 8","Pelagic chlorophyll a",0.1763,2.7203,16,1.941,2.552,20,0.0648,0.7606,0.902743066319997,0.123818681163734
"53","Fryxell et al.",2018,"Team 8","Nitrate concentration",0.0012,0.0046,16,0.0016,0.0042,20,0.2555,0.3841,0.120736693177177,0.112702463181658
"54","Fryxell et al.",2018,"Team 8","Phosphate concentration",4e-04,0.001,16,4e-04,9e-04,20,0.3578,0.3877,0,0.1125
"55","Fryxell et al.",2018,"Team 8","Ammonium concentration",0.0028,0.0079,16,0.0013,0.0075,20,0.3485,0.1731,-0.248285984625142,0.113356193474462
"56","Fryxell et al.",2018,"Team 8","pH",0.0375,0.1088,16,0.11,0.1166,20,0.3447,0.9434,0.781960600025599,0.12099253305545
"57","Fryxell et al.",2018,"Team 8","Specific conductance (ce)",0.0017,0.0211,16,0.004,0.0221,20,0.0788,0.1814,0.135804479804598,0.112756150787986
"58","Fryxell et al.",2018,"Team 8","Total macroinvertebrate abundance",49.25,203.7573,16,6.625,185.8561,20,0.2417,0.0356,-0.291986022740068,0.113684108853827
"59","Fryxell et al.",2018,"Team 8","Periphyton (chla or dry mass)",0.0357,0.0466,16,1e-04,0.0433,20,0.7656,0.0033,-0.867488913580683,0.122951902988686
